data
1.615519
0.840256
0.780464
2.700000
2.091485
2.206866
1.845846
1.772995
1.441625
1.504232
1.976104
1.502241
1.441914
1.885964
2.118818
1.754100
1.519072
1.803691
1.330450
1.869825
1.531728
1.827179
1.361951
1.695923
1.428807
1.705075
1.643792
1.407596
1.455073
1.779098
1.369443
1.789267
1.459419
1.499150
1.514961
1.523176
1.753222
1.751014
1.955624
1.385058
1.842678
1.695929
1.505434
1.588084
1.811172
1.456356
1.698673
2.124265
1.999899
1.631429
1.089711
0.910103
0.674425
0.558426
0.468614
1.689054
1.019265
1.653059
1.429043
1.372999
1.523484
1.469704
1.545398
1.501976
1.460295
1.743308
1.660482
1.429060
1.714502
1.714387
1.686329
1.668513
1.888208
1.387716
1.309261
1.680388
1.551848
1.785875
1.753270
1.527989
1.667383
1.474023
1.610164
1.783678
1.365754
1.447622
1.866162
1.555398
1.428335
1.723966
1.986010
1.841200
1.538354
1.458510
2.080730
1.432840
1.523661
1.583467
0.969722
0.801330
1.452725
1.867912
1.914741
1.537533
2.047735
1.859845
1.586608
1.900141
1.897031
1.346238
1.740704
1.870385
1.683731
1.543264
1.673474
1.382945
1.795897
1.720267
1.436402
1.771109
1.443433
1.843444
1.503702
1.332408
1.669672
1.387473
1.786190
1.515407
1.795616
1.450172
1.764627
1.517261
1.635522
1.615429
1.365326
1.580893
1.547393
1.817868
1.760413
1.457922
2.088336
1.425786
1.518352
1.651075
1.382104
1.450313
1.581666
1.943714
1.813804
1.745501
1.516216
1.963933
1.901797
1.442663
1.388510
1.604357
1.474790
1.881770
1.645811
1.670504
1.836519
1.380945
1.648942
1.326044
1.763023
1.851573
1.362106
1.837785
1.388391
1.610690
1.889300
1.415901
2.069691
1.758857
1.484834
1.768238
1.760044
1.489199
2.063250
1.582518
0.790743
1.361517
1.846594
2.024648
1.661510
1.794172
2.146470
1.467850
2.006087
1.728204
2.245255
2.215264
2.120343
2.639346
2.711512
1.978010
1.235996
2.082408
1.857846
1.620445
2.185066
1.652081
2.173657
1.914113
1.661774
1.475996
1.560144
1.383671
1.681300
1.674450
1.741069
1.927872
1.975385
1.682289
1.815196
1.376608
1.435311
1.814740
1.910656
1.731898
1.614107
1.633533
2.626724
1.566783
1.630006
1.984042
1.985360
1.892804
2.183096
1.765946
2.141705
1.515537
2.020991
1.517948
1.686777
1.459186
1.960015
1.334000
1.791076
1.568815
1.410948
1.522795
1.461970
1.539165
1.874035
1.556658
2.008433
1.568990
1.623850
2.464696
2.651150
3.594410
1.396612
0.887765
1.088933
0.586259
1.210045
0.529084
1.954031
2.716631
3.578189
1.916472
2.113021
1.797172
2.165759
1.617047
1.708215
1.923526
1.514896
2.644323
1.516520
1.372695
1.325862
1.442582
1.904352
1.468396
1.570328
1.536466
1.883675
2.205909
1.507047
1.862763
1.630163
1.623960
2.239324
1.178766
1.528871
0.876160
2.450407
3.275768
1.567005
1.762067
2.989415
1.964711
0.970146
1.178553
2.135584
1.971718
1.998276
1.123035
2.314208
2.055270
3.466037
2.114774
2.382176
1.731211
1.960083
1.476431
1.736009
1.696907
1.344789
2.156083
1.871097
1.614292
2.154803
1.571542
1.503907
1.674261
1.478433
2.076141
1.465870
1.471323
1.973069
1.536317
1.919730
1.758078
1.928591
1.523446
1.841121
1.887032
1.751847
1.759933
1.671667
1.418144
1.793692
1.562622
2.026612
1.590989
1.993705
3.004946
1.836041
1.903806
3.267243
1.207230
0.907000
0.773129
1.913906
0.659813
0.729721
1.176348
2.178626
1.233621
2.233072
0.535729
2.423481
0.676352
3.554033
0.589398
2.118893
2.942743
3.992526
3.295536
2.235633
0.932899
0.890708
0.595804
5.045733
2.076422
2.448161
3.931280
1.493215
0.908152
0.885440
0.978035
1.000817
2.081236
2.943248
3.322012
3.101864
2.219528
2.279746
2.550946
3.891066
3.053968
1.733395
2.251898
2.589243
2.177031
