Y,M,D,data
2019,08,28,nome
2019,08,28,2.000000
2019,08,28,0.911733
2019,08,28,0.517707
2019,08,28,0.364267
2019,08,28,0.393156
2019,08,28,0.472525
2019,08,28,0.382928
2019,08,28,0.316894
2019,08,28,0.341681
2019,08,28,0.711643
2019,08,28,0.588806
2019,08,28,0.368822
2019,08,28,2.798523
2019,08,28,0.281502
2019,08,28,0.288405
2019,08,28,0.325269
2019,08,28,0.324884
2019,08,28,0.224779
2019,08,28,0.334271
2019,08,28,0.201597
2019,08,28,0.177069
2019,08,28,0.172565
2019,08,28,0.170737
2019,08,28,0.272902
2019,08,28,0.234686
2019,08,28,0.278517
2019,08,28,0.186822
2019,08,28,0.282505
2019,08,28,0.636758
2019,08,28,0.144699
2019,08,28,0.184522
2019,08,28,0.297280
2019,08,28,0.280298
2019,08,28,0.432001
2019,08,28,0.400155
2019,08,28,0.229361
2019,08,28,0.257357
2019,08,28,0.188081
2019,08,28,0.170775
2019,08,28,0.194457
2019,08,28,0.188129
2019,08,28,0.202641
2019,08,28,0.181758
2019,08,28,0.251201
2019,08,28,0.190651
2019,08,28,0.217710
2019,08,28,0.193800
2019,08,28,0.084822
2019,08,28,0.167198
2019,08,28,0.102312
2019,08,28,0.297989
2019,08,28,0.162457
2019,08,28,0.182110
2019,08,28,0.072317
2019,08,28,0.068250
2019,08,28,0.070490
2019,08,28,0.074951
2019,08,28,0.076140
2019,08,28,0.074861
2019,08,28,0.084681
2019,08,28,0.076500
2019,08,28,0.290460
2019,08,28,0.163492
2019,08,28,0.142190
2019,08,28,0.118263
2019,08,28,0.082165
2019,08,28,0.107331
2019,08,28,0.118714
2019,08,28,5.691308
2019,08,28,0.058445
2019,08,28,0.059543
2019,08,28,0.055827
2019,08,28,0.049582
2019,08,28,0.051397
2019,08,28,0.048707
2019,08,28,0.048975
2019,08,28,0.053751
2019,08,28,0.047112
2019,08,28,0.051971
2019,08,28,0.051871
2019,08,28,0.043707
2019,08,28,0.048035
2019,08,28,0.049603
2019,08,28,0.049715
2019,08,28,0.065167
2019,08,28,0.047562
2019,08,28,0.048787
2019,08,28,0.049301
2019,08,28,0.048247
2019,08,28,0.053890
2019,08,28,0.066334
2019,08,28,0.050535
2019,08,28,0.050139
2019,08,28,0.052511
2019,08,28,0.053368
2019,08,28,0.050095
2019,08,28,0.179104
2019,08,28,0.055117
2019,08,28,1.355756
2019,08,28,0.110772
2019,08,28,0.058616
2019,08,28,0.041016
2019,08,28,0.042681
2019,08,28,0.036339
2019,08,28,0.040407
2019,08,28,1.304161
2019,08,28,0.050745
2019,08,28,0.043833
2019,08,28,0.036783
2019,08,28,0.037332
2019,08,28,0.035973
2019,08,28,0.050289
2019,08,28,0.084410
2019,08,28,0.040946
2019,08,28,0.044873
2019,08,28,0.036108
2019,08,28,0.042089
2019,08,28,0.035615
2019,08,28,0.040366
2019,08,28,0.036291
2019,08,28,0.040942
2019,08,28,0.035539
2019,08,28,0.040149
2019,08,28,0.035437
2019,08,28,0.039371
2019,08,28,0.035866
2019,08,28,0.042026
2019,08,28,0.035864
2019,08,28,0.039995
2019,08,28,0.056850
2019,08,28,0.040735
2019,08,28,0.037397
2019,08,28,0.047527
2019,08,28,0.088874
2019,08,28,0.047095
2019,08,28,0.044612
2019,08,28,0.126529
2019,08,28,0.036578
2019,08,28,0.060686
2019,08,28,0.047847
2019,08,28,0.044709
2019,08,28,0.037719
2019,08,28,0.036721
2019,08,28,0.046535
2019,08,28,0.057382
2019,08,28,0.041608
2019,08,28,0.033404
2019,08,28,0.041321
2019,08,28,0.035983
2019,08,28,0.040071
2019,08,28,0.037173
2019,08,28,0.047748
2019,08,28,0.088040
2019,08,28,0.084425
2019,08,28,0.155851
2019,08,28,0.120780
2019,08,28,0.602163
2019,08,28,0.036814
2019,08,28,0.056306
2019,08,28,0.149031
2019,08,28,0.052760
2019,08,28,0.045285
2019,08,28,0.057103
2019,08,28,0.074441
2019,08,28,0.059875
2019,08,28,0.074374
2019,08,28,0.049362
2019,08,28,0.071158
2019,08,28,0.059922
2019,08,28,0.048016
2019,08,28,0.046564
2019,08,28,0.052820
2019,08,28,0.053002
2019,08,28,0.040703
2019,08,28,0.036535
2019,08,28,0.064705
2019,08,28,0.040141
2019,08,28,0.032051
2019,08,28,0.039700
2019,08,28,0.033212
2019,08,28,0.033141
2019,08,28,0.042724
2019,08,28,0.026861
2019,08,28,0.040721
2019,08,28,0.032154
2019,08,28,0.062964
2019,08,28,0.040486
2019,08,28,0.037085
2019,08,28,0.039862
2019,08,28,0.033359
2019,08,28,0.038005
2019,08,28,0.034626
2019,08,28,0.037864
2019,08,28,0.033149
2019,08,28,0.033266
2019,08,28,0.042037
2019,08,28,0.032378
2019,08,28,0.040044
2019,08,28,0.032116
2019,08,28,0.064715
2019,08,28,0.041643
2019,08,28,0.034678
2019,08,28,0.030728
2019,08,28,0.034635
2019,08,28,0.056144
2019,08,28,0.043166
2019,08,28,0.038853
2019,08,28,0.036285
2019,08,28,0.038853
2019,08,28,0.031107
2019,08,28,0.038405
2019,08,28,0.032952
2019,08,28,0.043269
2019,08,28,0.033020
2019,08,28,0.038197
2019,08,28,0.035536
2019,08,28,0.040416
2019,08,28,0.042354
2019,08,28,0.040345
2019,08,28,0.123517
2019,08,28,0.211602
2019,08,28,0.188236
2019,08,28,0.084783
2019,08,28,0.061648
2019,08,28,0.058402
2019,08,28,0.071161
2019,08,28,0.043027
2019,08,28,0.085506
2019,08,28,0.030768
2019,08,28,0.043071
2019,08,28,0.062435
2019,08,28,0.040996
2019,08,28,0.066427
2019,08,28,0.041565
2019,08,28,0.040619
2019,08,28,0.043376
2019,08,28,0.041460
2019,08,28,0.038845
2019,08,28,0.039636
2019,08,28,0.051983
2019,08,28,0.039203
2019,08,28,0.038961
2019,08,28,0.039812
2019,08,28,0.038950
2019,08,28,0.039824
2019,08,28,0.039043
2019,08,28,0.038410
2019,08,28,0.039542
2019,08,28,0.038666
2019,08,28,0.052293
2019,08,28,0.039254
2019,08,28,0.036286
2019,08,28,0.041289
2019,08,28,0.035242
2019,08,28,0.041151
2019,08,28,0.037941
2019,08,28,0.039783
2019,08,28,0.038978
2019,08,28,0.039871
2019,08,28,0.038675
2019,08,28,0.038894
2019,08,28,0.038719
2019,08,28,0.039014
2019,08,28,0.038808
2019,08,28,0.038277
2019,08,28,0.039807
2019,08,28,0.039003
2019,08,28,0.049303
2019,08,28,0.041683
2019,08,28,0.039595
2019,08,28,0.037701
2019,08,28,0.038155
2019,08,28,0.054463
2019,08,28,0.039894
2019,08,28,0.039180
2019,08,28,0.039413
2019,08,28,0.038876
2019,08,28,0.042345
2019,08,28,0.037820
2019,08,28,0.051866
2019,08,28,0.038807
2019,08,28,0.040162
2019,08,28,0.039200
2019,08,28,0.038988
2019,08,28,0.038536
2019,08,28,0.054630
2019,08,28,0.037909
2019,08,28,0.080285
2019,08,28,0.101486
2019,08,28,0.094114
2019,08,28,0.071282
2019,08,28,0.049078
2019,08,28,0.041741
2019,08,28,0.034716
2019,08,28,0.039909
2019,08,28,0.033353
2019,08,28,0.040282
2019,08,28,0.033824
2019,08,28,0.040170
2019,08,28,0.033574
2019,08,28,0.042665
2019,08,28,0.038877
2019,08,28,0.033896
2019,08,28,0.041899
2019,08,28,0.034070
2019,08,28,0.039579
2019,08,28,0.034223
2019,08,28,0.083627
2019,08,28,0.037815
2019,08,28,0.039639
2019,08,28,0.034822
2019,08,28,0.040430
2019,08,28,0.033869
2019,08,28,0.040862
2019,08,28,0.032874
2019,08,28,0.040318
2019,08,28,0.032919
2019,08,28,0.040672
2019,08,28,0.034650
2019,08,28,0.040030
2019,08,28,0.035109
2019,08,28,0.046549
2019,08,28,0.034448
2019,08,28,0.041817
2019,08,28,0.033511
2019,08,28,0.040117
2019,08,28,0.032762
2019,08,28,0.040299
2019,08,28,0.033563
2019,08,28,0.064891
2019,08,28,0.022748
2019,08,28,0.043388
2019,08,28,0.032804
2019,08,28,0.053517
2019,08,28,0.062935
2019,08,28,0.029249
2019,08,28,0.027736
2019,08,28,0.053306
2019,08,28,0.034693
2019,08,28,0.033978
2019,08,28,0.043314
2019,08,28,0.029847
2019,08,28,0.034371
2019,08,28,0.033645
2019,08,28,0.034329
2019,08,28,0.033900
2019,08,28,0.034237
2019,08,28,0.033376
2019,08,28,0.033405
2019,08,28,0.034150
2019,08,28,0.033687
2019,08,28,0.033891
2019,08,28,0.033768
2019,08,28,0.035523
2019,08,28,0.034854
2019,08,28,0.033809
2019,08,28,0.033949
2019,08,28,0.031325
2019,08,28,0.033306
2019,08,28,0.033348
2019,08,28,0.035279
2019,08,28,0.033865
2019,08,28,0.034172
2019,08,28,0.033535
2019,08,28,0.033860
2019,08,28,0.034763
2019,08,28,0.033023
2019,08,28,0.033652
2019,08,28,0.033129
2019,08,28,0.034533
2019,08,28,0.033357
2019,08,28,0.033853
2019,08,28,0.039439
2019,08,28,0.033585
2019,08,28,0.033534
2019,08,28,0.034015
2019,08,28,0.046231
2019,08,28,0.033922
2019,08,28,0.034321
2019,08,28,0.033607
2019,08,28,0.034944
2019,08,28,0.034389
2019,08,28,0.034290
2019,08,28,0.033627
2019,08,28,0.033695
2019,08,28,0.034606
2019,08,28,0.033641
2019,08,28,0.033923
2019,08,28,0.034484
2019,08,28,0.032915
2019,08,28,0.033860
2019,08,28,0.032269
2019,08,28,0.036272
2019,08,28,0.033038
2019,08,28,0.034652
2019,08,28,0.037247
2019,08,28,0.032621
2019,08,28,0.033488
2019,08,28,0.033603
2019,08,28,0.033876
2019,08,28,0.033928
2019,08,28,0.033143
2019,08,28,0.035645
2019,08,28,0.033175
2019,08,28,0.037068
2019,08,28,0.034304
2019,08,28,0.033291
2019,08,28,0.033896
2019,08,28,0.033115
2019,08,28,0.039279
2019,08,28,0.032799
2019,08,28,0.033391
2019,08,28,0.033234
2019,08,28,0.035179
2019,08,28,0.032361
