Y,M,D,data
2019,08,28,0.082437
2019,08,28,0.072693
2019,08,28,0.088214
2019,08,28,0.054010
2019,08,28,0.083286
2019,08,28,0.077053
2019,08,28,0.147351
2019,08,28,0.336303
2019,08,28,0.823902
2019,08,28,0.176187
2019,08,28,0.080052
2019,08,28,0.071060
2019,08,28,0.244813
2019,08,28,0.064943
2019,08,28,0.058744
2019,08,28,0.409455
2019,08,28,0.119610
2019,08,28,0.032330
2019,08,28,0.079372
2019,08,28,0.099030
2019,08,28,0.060342
2019,08,28,0.089705
2019,08,28,0.098813
2019,08,28,0.056231
2019,08,28,0.065486
2019,08,28,0.090297
2019,08,28,0.085130
2019,08,28,0.075036
2019,08,28,0.088149
2019,08,28,0.068853
2019,08,28,0.107363
2019,08,28,0.074162
2019,08,28,0.047126
2019,08,28,0.413815
2019,08,28,0.044206
2019,08,28,0.041191
2019,08,28,0.042085
2019,08,28,0.032554
2019,08,28,0.083640
2019,08,28,0.053991
2019,08,28,0.060024
2019,08,28,0.095735
2019,08,28,0.091253
2019,08,28,0.096313
2019,08,28,0.070361
2019,08,28,0.040070
2019,08,28,0.073724
2019,08,28,0.082053
2019,08,28,0.092698
2019,08,28,0.081777
2019,08,28,0.070995
2019,08,28,0.074741
2019,08,28,0.070453
2019,08,28,0.071542
2019,08,28,0.339266
2019,08,28,0.072697
2019,08,28,0.071812
2019,08,28,0.072397
2019,08,28,0.060131
2019,08,28,0.054457
2019,08,28,0.068113
2019,08,28,0.083190
2019,08,28,0.064272
2019,08,28,0.034999
2019,08,28,0.030968
2019,08,28,0.058674
2019,08,28,0.048935
2019,08,28,0.084343
2019,08,28,0.069994
2019,08,28,0.076822
2019,08,28,0.054593
2019,08,28,5.926759
2019,08,28,0.071166
2019,08,28,0.029065
2019,08,28,0.097558
2019,08,28,0.116729
2019,08,28,0.117004
2019,08,28,0.115942
2019,08,28,0.116528
2019,08,28,0.115799
2019,08,28,0.137760
2019,08,28,0.118897
2019,08,28,0.115721
2019,08,28,0.118695
2019,08,28,0.115678
2019,08,28,0.116586
2019,08,28,0.120540
2019,08,28,0.114349
2019,08,28,0.117350
2019,08,28,0.116928
2019,08,28,0.116288
2019,08,28,0.117588
2019,08,28,0.116829
2019,08,28,0.116373
2019,08,28,0.114618
2019,08,28,0.116985
2019,08,28,0.116666
2019,08,28,0.116368
2019,08,28,0.114406
2019,08,28,0.117217
2019,08,28,0.114273
2019,08,28,0.164602
2019,08,28,0.119558
2019,08,28,0.116233
2019,08,28,0.116743
2019,08,28,0.116879
2019,08,28,0.120549
2019,08,28,0.117734
2019,08,28,0.246668
2019,08,28,0.053757
2019,08,28,2.522399
2019,08,28,0.061848
2019,08,28,0.046837
2019,08,28,0.074747
2019,08,28,0.090383
2019,08,28,0.073896
2019,08,28,0.071123
2019,08,28,0.091588
2019,08,28,0.089842
2019,08,28,0.073480
2019,08,28,0.096336
2019,08,28,0.045683
2019,08,28,0.045222
2019,08,28,0.064758
2019,08,28,0.044707
2019,08,28,0.045072
2019,08,28,0.043563
2019,08,28,0.063656
2019,08,28,0.027533
2019,08,28,0.026774
2019,08,28,0.055488
2019,08,28,0.045131
2019,08,28,0.062786
2019,08,28,0.077331
2019,08,28,0.129535
2019,08,28,0.074997
2019,08,28,0.063450
2019,08,28,0.074548
2019,08,28,0.075042
2019,08,28,0.134182
2019,08,28,0.144912
2019,08,28,0.046258
2019,08,28,0.021647
2019,08,28,0.052343
2019,08,28,0.035738
2019,08,28,0.046267
2019,08,28,0.028393
2019,08,28,0.065153
2019,08,28,0.095077
2019,08,28,0.054216
2019,08,28,0.080315
2019,08,28,0.049957
2019,08,28,0.077094
2019,08,28,0.070646
2019,08,28,0.074326
2019,08,28,0.070767
2019,08,28,0.066442
2019,08,28,0.033400
2019,08,28,0.051187
2019,08,28,0.096150
2019,08,28,0.089621
2019,08,28,0.114689
2019,08,28,0.027786
2019,08,28,0.030752
2019,08,28,0.032373
2019,08,28,0.047382
2019,08,28,0.055524
2019,08,28,0.099085
2019,08,28,0.046660
2019,08,28,0.085524
2019,08,28,0.061511
2019,08,28,0.072032
2019,08,28,0.068808
2019,08,28,0.075328
2019,08,28,0.070399
2019,08,28,0.071612
2019,08,28,0.072199
2019,08,28,0.071826
2019,08,28,0.063516
2019,08,28,0.089737
2019,08,28,0.070373
2019,08,28,0.074576
2019,08,28,0.069975
2019,08,28,0.074658
2019,08,28,0.069623
2019,08,28,0.072320
2019,08,28,0.072628
2019,08,28,0.069010
2019,08,28,0.075806
2019,08,28,0.062058
2019,08,28,0.069833
2019,08,28,0.072981
2019,08,28,0.073150
2019,08,28,0.071742
2019,08,28,0.068976
2019,08,28,0.075087
2019,08,28,0.071797
2019,08,28,0.071256
2019,08,28,0.125015
2019,08,28,0.063331
2019,08,28,0.067320
2019,08,28,0.084938
2019,08,28,0.072925
2019,08,28,0.073192
2019,08,28,0.074014
2019,08,28,0.074871
2019,08,28,0.079771
2019,08,28,0.067324
2019,08,28,0.072657
2019,08,28,0.070768
2019,08,28,0.062448
2019,08,28,0.092721
2019,08,28,0.054232
2019,08,28,0.149786
2019,08,28,0.050225
2019,08,28,0.059559
2019,08,28,0.072037
2019,08,28,0.070924
2019,08,28,0.094305
2019,08,28,0.116024
2019,08,28,0.091965
2019,08,28,0.089693
2019,08,28,0.067329
2019,08,28,0.047621
2019,08,28,0.028115
2019,08,28,0.027518
2019,08,28,0.114965
2019,08,28,0.062879
2019,08,28,0.025909
2019,08,28,0.058207
2019,08,28,0.087138
2019,08,28,0.089289
2019,08,28,0.095453
2019,08,28,0.081098
2019,08,28,0.019536
2019,08,28,0.086504
2019,08,28,0.087910
2019,08,28,0.088185
2019,08,28,0.087786
2019,08,28,0.044246
2019,08,28,0.084711
2019,08,28,0.039199
2019,08,28,0.072498
2019,08,28,0.026899
2019,08,28,0.032724
2019,08,28,0.057758
2019,08,28,0.030304
2019,08,28,0.059021
2019,08,28,0.033701
2019,08,28,0.060179
2019,08,28,0.031516
2019,08,28,0.055900
2019,08,28,0.034177
2019,08,28,0.049633
2019,08,28,0.029977
2019,08,28,0.063375
2019,08,28,0.026315
2019,08,28,0.057381
2019,08,28,0.027124
2019,08,28,0.104064
2019,08,28,0.030720
2019,08,28,0.031186
2019,08,28,0.065841
2019,08,28,0.061841
2019,08,28,0.058429
2019,08,28,0.061763
2019,08,28,0.069688
2019,08,28,0.056758
2019,08,28,0.059107
2019,08,28,0.062033
2019,08,28,0.063407
2019,08,28,0.057075
2019,08,28,0.057187
2019,08,28,0.062839
2019,08,28,0.039354
2019,08,28,0.042785
2019,08,28,1.210222
2019,08,28,0.381966
2019,08,28,0.035201
2019,08,28,0.023051
2019,08,28,0.037036
2019,08,28,0.019447
2019,08,28,0.043298
2019,08,28,0.034528
2019,08,28,0.057277
2019,08,28,0.042507
2019,08,28,0.066340
2019,08,28,0.057954
2019,08,28,0.033090
2019,08,28,0.060661
2019,08,28,0.097268
2019,08,28,0.036592
2019,08,28,0.035563
2019,08,28,0.019939
2019,08,28,0.025961
2019,08,28,0.066606
2019,08,28,0.035576
2019,08,28,0.042129
2019,08,28,0.077881
2019,08,28,0.064077
2019,08,28,0.054514
2019,08,28,0.063521
2019,08,28,0.056332
2019,08,28,0.041552
2019,08,28,0.057613
2019,08,28,0.073171
2019,08,28,0.134602
2019,08,28,0.048055
2019,08,28,0.110468
2019,08,28,0.037780
2019,08,28,0.094879
2019,08,28,0.024190
2019,08,28,0.065350
2019,08,28,0.045641
2019,08,28,0.016893
2019,08,28,0.035603
2019,08,28,0.017663
2019,08,28,0.026570
2019,08,28,0.043641
2019,08,28,0.026392
2019,08,28,0.043738
2019,08,28,0.026216
2019,08,28,0.043742
2019,08,28,0.026025
2019,08,28,0.044967
2019,08,28,0.059920
2019,08,28,0.059661
2019,08,28,0.027899
2019,08,28,0.031755
2019,08,28,0.026334
2019,08,28,0.048054
2019,08,28,0.071366
2019,08,28,0.069882
2019,08,28,0.038607
2019,08,28,0.051590
2019,08,28,0.058913
2019,08,28,0.042492
2019,08,28,0.072947
2019,08,28,0.025791
2019,08,28,0.047336
2019,08,28,0.052072
2019,08,28,0.036212
2019,08,28,0.054124
2019,08,28,0.035678
2019,08,28,0.027009
2019,08,28,0.032993
2019,08,28,0.026233
2019,08,28,0.030902
2019,08,28,0.031087
2019,08,28,0.057101
2019,08,28,0.031942
2019,08,28,0.058571
2019,08,28,0.029836
2019,08,28,0.057760
2019,08,28,0.029880
2019,08,28,0.057009
2019,08,28,0.029182
2019,08,28,0.058520
2019,08,28,0.029258
2019,08,28,0.057717
2019,08,28,0.029468
2019,08,28,0.057151
2019,08,28,0.029156
2019,08,28,0.059650
2019,08,28,0.030603
2019,08,28,0.060662
2019,08,28,0.029144
2019,08,28,0.057216
2019,08,28,0.029300
2019,08,28,0.057242
2019,08,28,0.027948
2019,08,28,0.058996
2019,08,28,0.029136
2019,08,28,0.056711
2019,08,28,0.029426
2019,08,28,0.058074
2019,08,28,0.030117
2019,08,28,0.056910
2019,08,28,0.031432
2019,08,28,0.056855
2019,08,28,0.029879
2019,08,28,0.057049
2019,08,28,0.029040
2019,08,28,0.068016
2019,08,28,0.031517
2019,08,28,0.060675
2019,08,28,0.030309
2019,08,28,0.057922
2019,08,28,0.029500
2019,08,28,0.057427
2019,08,28,0.029360
2019,08,28,0.057347
2019,08,28,0.030734
2019,08,28,0.057232
2019,08,28,0.029599
2019,08,28,0.056921
2019,08,28,0.058055
2019,08,28,0.277791
2019,08,28,0.052251
2019,08,28,0.032262
2019,08,28,0.058744
2019,08,28,0.071255
2019,08,28,0.062159
2019,08,28,0.053319
2019,08,28,0.073297
2019,08,28,0.070769
2019,08,28,0.080147
2019,08,28,0.097594
2019,08,28,0.064012
2019,08,28,0.049044
2019,08,28,0.059309
2019,08,28,0.075161
2019,08,28,0.055099
2019,08,28,0.054282
2019,08,28,0.052505
2019,08,28,0.039571
2019,08,28,0.067600
2019,08,28,0.052189
2019,08,28,0.029401
2019,08,28,0.026162
2019,08,28,0.055973
2019,08,28,0.058406
2019,08,28,0.027653
2019,08,28,0.044669
2019,08,28,0.062736
2019,08,28,0.154979
2019,08,28,0.055387
2019,08,28,0.079491
2019,08,28,0.065763
2019,08,28,0.082067
2019,08,28,0.035692
2019,08,28,0.047925
2019,08,28,0.124401
2019,08,28,0.055508
2019,08,28,0.069502
2019,08,28,0.034016
2019,08,28,0.057525
2019,08,28,0.029557
2019,08,28,0.038703
2019,08,28,0.058331
2019,08,28,0.049249
2019,08,28,0.079701
2019,08,28,0.097491
2019,08,28,0.029429
2019,08,28,0.033406
2019,08,28,0.086718
2019,08,28,0.063528
2019,08,28,0.062876
2019,08,28,0.071563
2019,08,28,0.063594
2019,08,28,0.062723
2019,08,28,0.111907
