Y,M,D,data
2019,08,28,nome
2019,08,28,4.000000
2019,08,28,2.627480
2019,08,28,0.547635
2019,08,28,0.234975
2019,08,28,0.219335
2019,08,28,0.092882
2019,08,28,0.207606
2019,08,28,0.207929
2019,08,28,0.134375
2019,08,28,1.339705
2019,08,28,0.335429
2019,08,28,0.377050
2019,08,28,0.323585
2019,08,28,0.831374
2019,08,28,0.373396
2019,08,28,0.552152
2019,08,28,0.192365
2019,08,28,0.196596
2019,08,28,0.199475
2019,08,28,0.235123
2019,08,28,0.239742
2019,08,28,0.220302
2019,08,28,0.823113
2019,08,28,0.598134
2019,08,28,0.454760
2019,08,28,0.197316
2019,08,28,0.234875
2019,08,28,0.295870
2019,08,28,0.293078
2019,08,28,0.147342
2019,08,28,0.205606
2019,08,28,0.267967
2019,08,28,0.067490
2019,08,28,0.083519
2019,08,28,0.088879
2019,08,28,0.111712
2019,08,28,0.098469
2019,08,28,0.080510
2019,08,28,0.091387
2019,08,28,0.080081
2019,08,28,0.090270
2019,08,28,0.066756
2019,08,28,0.085742
2019,08,28,0.087303
2019,08,28,0.067637
2019,08,28,0.085396
2019,08,28,0.071501
2019,08,28,0.097696
2019,08,28,0.109826
2019,08,28,0.087660
2019,08,28,0.088874
2019,08,28,0.083724
2019,08,28,0.083066
2019,08,28,0.080477
2019,08,28,0.430156
2019,08,28,2.908492
2019,08,28,0.249296
2019,08,28,0.169066
2019,08,28,0.231874
2019,08,28,0.088745
2019,08,28,0.118392
2019,08,28,0.128173
2019,08,28,0.080280
2019,08,28,0.056770
2019,08,28,0.079899
2019,08,28,0.186550
2019,08,28,0.120875
2019,08,28,0.211318
2019,08,28,0.069747
2019,08,28,0.374636
2019,08,28,0.384076
2019,08,28,0.129480
2019,08,28,0.067916
2019,08,28,0.137242
2019,08,28,0.070236
2019,08,28,0.121324
2019,08,28,0.086754
2019,08,28,0.081850
2019,08,28,0.088095
2019,08,28,0.207116
2019,08,28,0.128997
2019,08,28,0.056160
2019,08,28,0.083212
2019,08,28,0.104292
2019,08,28,0.062477
2019,08,28,0.085126
2019,08,28,0.164308
2019,08,28,0.222411
2019,08,28,0.378643
2019,08,28,0.118935
2019,08,28,0.119459
2019,08,28,0.184405
2019,08,28,0.095399
2019,08,28,0.101883
2019,08,28,0.060885
2019,08,28,0.212878
2019,08,28,0.087375
2019,08,28,0.080475
2019,08,28,0.050430
2019,08,28,0.059597
2019,08,28,0.048949
2019,08,28,0.048989
2019,08,28,0.077312
2019,08,28,0.066605
2019,08,28,0.106916
2019,08,28,0.071686
2019,08,28,0.052997
2019,08,28,0.040640
2019,08,28,0.148823
2019,08,28,0.076696
2019,08,28,0.067813
2019,08,28,0.064035
2019,08,28,0.069057
2019,08,28,0.073438
2019,08,28,0.059631
2019,08,28,0.106403
2019,08,28,0.073134
2019,08,28,0.046852
2019,08,28,0.089024
2019,08,28,0.059247
2019,08,28,0.033904
2019,08,28,0.382037
2019,08,28,0.135814
2019,08,28,0.091149
2019,08,28,0.068624
2019,08,28,0.111831
2019,08,28,0.054275
2019,08,28,0.087068
2019,08,28,0.065574
2019,08,28,0.071209
2019,08,28,0.056546
2019,08,28,0.037441
2019,08,28,0.078374
2019,08,28,0.033390
2019,08,28,0.053780
2019,08,28,0.040492
2019,08,28,0.061986
2019,08,28,0.048550
2019,08,28,0.032658
2019,08,28,0.041780
2019,08,28,0.045342
2019,08,28,0.073481
2019,08,28,0.052241
2019,08,28,0.544821
2019,08,28,4.057984
2019,08,28,0.075716
2019,08,28,0.078264
2019,08,28,0.110391
2019,08,28,0.038724
2019,08,28,0.097520
2019,08,28,0.112014
2019,08,28,0.085158
2019,08,28,0.045141
2019,08,28,0.052143
2019,08,28,0.050261
2019,08,28,0.043516
2019,08,28,0.057037
2019,08,28,0.046048
2019,08,28,0.040012
2019,08,28,0.088062
2019,08,28,0.061566
2019,08,28,0.049503
2019,08,28,0.064328
2019,08,28,0.038794
2019,08,28,0.071959
2019,08,28,0.060853
2019,08,28,0.045359
2019,08,28,0.056272
2019,08,28,0.050483
2019,08,28,0.125060
2019,08,28,0.089659
2019,08,28,0.059903
2019,08,28,0.048996
2019,08,28,0.052464
2019,08,28,0.043132
2019,08,28,0.054170
2019,08,28,0.050729
2019,08,28,0.049737
2019,08,28,0.055579
2019,08,28,0.040429
2019,08,28,0.050102
2019,08,28,0.054591
2019,08,28,0.052132
2019,08,28,0.039045
2019,08,28,0.023226
2019,08,28,0.065111
2019,08,28,0.045029
2019,08,28,0.049849
2019,08,28,0.035254
2019,08,28,0.055481
2019,08,28,0.031345
2019,08,28,0.044893
2019,08,28,0.033888
2019,08,28,0.029672
2019,08,28,0.038166
2019,08,28,0.039989
2019,08,28,0.037122
2019,08,28,0.286916
2019,08,28,0.471741
2019,08,28,0.309550
2019,08,28,0.142944
2019,08,28,0.040178
2019,08,28,0.055140
2019,08,28,0.034285
2019,08,28,0.048823
2019,08,28,0.074743
2019,08,28,0.117146
2019,08,28,0.093634
2019,08,28,0.091002
2019,08,28,0.088448
