Y,M,D,data
2019,08,28,nome
2019,08,28,3.000000
2019,08,28,0.522868
2019,08,28,0.154758
2019,08,28,0.203526
2019,08,28,0.303028
2019,08,28,1.087316
2019,08,28,0.087261
2019,08,28,0.076097
2019,08,28,0.069666
2019,08,28,0.058497
2019,08,28,0.084482
2019,08,28,0.073091
2019,08,28,0.068579
2019,08,28,0.059144
2019,08,28,0.110726
2019,08,28,0.077041
2019,08,28,0.073166
2019,08,28,0.073680
2019,08,28,0.068874
2019,08,28,0.074004
2019,08,28,0.073152
2019,08,28,1.432219
2019,08,28,0.118908
2019,08,28,0.076266
2019,08,28,0.063175
2019,08,28,0.060168
2019,08,28,0.055369
2019,08,28,0.053575
2019,08,28,0.052116
2019,08,28,0.058234
2019,08,28,0.059051
2019,08,28,0.058006
2019,08,28,0.058198
2019,08,28,0.059162
2019,08,28,0.058930
2019,08,28,0.105573
2019,08,28,1.893351
2019,08,28,0.094650
2019,08,28,0.154541
2019,08,28,0.135008
2019,08,28,0.114147
2019,08,28,0.123184
2019,08,28,0.121305
2019,08,28,0.125302
2019,08,28,0.113587
2019,08,28,0.121780
2019,08,28,0.124583
2019,08,28,0.170235
2019,08,28,2.053799
2019,08,28,0.194559
2019,08,28,0.332931
2019,08,28,0.195303
2019,08,28,0.218437
2019,08,28,0.225394
2019,08,28,0.138591
2019,08,28,0.203838
2019,08,28,0.075781
2019,08,28,0.076902
2019,08,28,0.067008
2019,08,28,0.070009
2019,08,28,0.093387
2019,08,28,0.069000
2019,08,28,0.065245
2019,08,28,0.068574
2019,08,28,0.068995
2019,08,28,0.071696
2019,08,28,0.056131
2019,08,28,0.065382
2019,08,28,0.061592
2019,08,28,0.067181
2019,08,28,0.070973
2019,08,28,0.143200
2019,08,28,0.074509
2019,08,28,0.067052
2019,08,28,0.067039
2019,08,28,0.066746
2019,08,28,0.070030
2019,08,28,0.059694
2019,08,28,0.063315
2019,08,28,0.059893
2019,08,28,0.065599
2019,08,28,0.065784
2019,08,28,0.069122
2019,08,28,0.060129
2019,08,28,0.064020
2019,08,28,0.065526
2019,08,28,0.064972
2019,08,28,0.068935
2019,08,28,0.055915
2019,08,28,0.064335
2019,08,28,0.066656
2019,08,28,0.103047
2019,08,28,0.144331
2019,08,28,0.081695
2019,08,28,0.064273
2019,08,28,0.057931
2019,08,28,0.066674
2019,08,28,0.062304
2019,08,28,0.057255
2019,08,28,0.059408
2019,08,28,0.080565
2019,08,28,0.198170
2019,08,28,0.125094
2019,08,28,0.110231
2019,08,28,0.069197
2019,08,28,0.159862
2019,08,28,0.114065
2019,08,28,0.110176
2019,08,28,0.069020
2019,08,28,0.061813
2019,08,28,0.089215
2019,08,28,0.064583
2019,08,28,0.188169
2019,08,28,0.066887
2019,08,28,0.088274
2019,08,28,0.110388
2019,08,28,0.099722
2019,08,28,0.188788
2019,08,28,0.097181
2019,08,28,0.083471
2019,08,28,0.103463
2019,08,28,0.086289
2019,08,28,0.100049
2019,08,28,0.065926
2019,08,28,0.085671
2019,08,28,0.103915
2019,08,28,0.057417
2019,08,28,0.097648
2019,08,28,0.093418
2019,08,28,0.126273
2019,08,28,0.082653
2019,08,28,0.050138
2019,08,28,0.050004
2019,08,28,0.062645
2019,08,28,0.058449
2019,08,28,0.049673
2019,08,28,0.059438
2019,08,28,0.058167
2019,08,28,0.049928
2019,08,28,0.071752
2019,08,28,0.051641
2019,08,28,0.057549
2019,08,28,0.055546
2019,08,28,0.062119
2019,08,28,0.057196
2019,08,28,0.049486
2019,08,28,0.057079
2019,08,28,0.056087
2019,08,28,0.057268
2019,08,28,0.049505
2019,08,28,0.059518
2019,08,28,0.058882
2019,08,28,0.049259
2019,08,28,0.058167
2019,08,28,0.057079
2019,08,28,0.058151
2019,08,28,0.048672
2019,08,28,0.059535
2019,08,28,0.053400
2019,08,28,0.050968
2019,08,28,0.049974
2019,08,28,0.054814
2019,08,28,0.052643
2019,08,28,0.050753
2019,08,28,0.060263
2019,08,28,0.050861
2019,08,28,0.054983
2019,08,28,0.061620
2019,08,28,0.038655
2019,08,28,0.065959
2019,08,28,0.058136
2019,08,28,0.058434
2019,08,28,0.048646
2019,08,28,0.065225
2019,08,28,0.058911
2019,08,28,0.049243
2019,08,28,0.057472
2019,08,28,0.057651
2019,08,28,0.059594
2019,08,28,0.050836
2019,08,28,0.176877
2019,08,28,0.064857
2019,08,28,0.054032
2019,08,28,0.049095
2019,08,28,0.052525
2019,08,28,0.054626
2019,08,28,0.055039
2019,08,28,0.051961
2019,08,28,0.074821
2019,08,28,0.061877
2019,08,28,0.050468
2019,08,28,0.054468
2019,08,28,0.055178
2019,08,28,0.055700
2019,08,28,0.052700
2019,08,28,0.058873
2019,08,28,0.048716
2019,08,28,0.054145
2019,08,28,0.056939
2019,08,28,0.048343
2019,08,28,0.053318
2019,08,28,0.057620
2019,08,28,0.049639
2019,08,28,0.070746
2019,08,28,0.066308
2019,08,28,0.054053
2019,08,28,0.058187
2019,08,28,0.060491
2019,08,28,0.048300
2019,08,28,0.056973
2019,08,28,0.057853
2019,08,28,0.049158
2019,08,28,0.057089
2019,08,28,0.055969
2019,08,28,0.102290
2019,08,28,0.060672
2019,08,28,0.056664
2019,08,28,0.054673
2019,08,28,0.049694
2019,08,28,0.058569
2019,08,28,0.051961
2019,08,28,0.048912
2019,08,28,0.052268
2019,08,28,0.055589
2019,08,28,0.048805
2019,08,28,0.059611
2019,08,28,0.058105
2019,08,28,0.060882
2019,08,28,0.049912
2019,08,28,0.056384
2019,08,28,0.065215
2019,08,28,0.054618
2019,08,28,0.056913
2019,08,28,0.048956
2019,08,28,0.051856
2019,08,28,0.059896
2019,08,28,0.061610
2019,08,28,0.054107
2019,08,28,0.050784
2019,08,28,0.049355
2019,08,28,0.049947
2019,08,28,0.055360
2019,08,28,0.048761
2019,08,28,0.060695
2019,08,28,0.047305
2019,08,28,0.049602
2019,08,28,0.056391
2019,08,28,0.058378
2019,08,28,0.059782
2019,08,28,0.074557
2019,08,28,0.901738
2019,08,28,0.057178
2019,08,28,0.048439
2019,08,28,0.046198
2019,08,28,0.048673
2019,08,28,0.039485
2019,08,28,0.067535
2019,08,28,0.064117
2019,08,28,0.061145
2019,08,28,0.087893
2019,08,28,0.093459
2019,08,28,0.107478
2019,08,28,0.048282
2019,08,28,0.042217
2019,08,28,0.113608
2019,08,28,0.053275
2019,08,28,0.044480
2019,08,28,0.070371
2019,08,28,0.087160
2019,08,28,0.077839
2019,08,28,0.072716
2019,08,28,0.030798
2019,08,28,0.048263
2019,08,28,0.045557
2019,08,28,0.062864
2019,08,28,0.054325
2019,08,28,0.061901
2019,08,28,0.121259
2019,08,28,0.051345
2019,08,28,0.050241
2019,08,28,0.052044
2019,08,28,0.108347
2019,08,28,0.058483
2019,08,28,0.041106
2019,08,28,0.119772
2019,08,28,0.050397
2019,08,28,0.151969
2019,08,28,0.106306
2019,08,28,0.140735
2019,08,28,0.060001
2019,08,28,0.050709
2019,08,28,0.119627
2019,08,28,0.057940
2019,08,28,0.063546
2019,08,28,0.150243
2019,08,28,0.067066
2019,08,28,0.053137
2019,08,28,0.058666
2019,08,28,0.056482
2019,08,28,0.047684
2019,08,28,0.072212
2019,08,28,0.084598
2019,08,28,0.081887
2019,08,28,0.081409
2019,08,28,0.072715
2019,08,28,0.067162
2019,08,28,0.061133
2019,08,28,0.046271
2019,08,28,0.037513
2019,08,28,0.051633
2019,08,28,0.064670
2019,08,28,0.298531
2019,08,28,0.054813
2019,08,28,0.041391
2019,08,28,0.040030
2019,08,28,0.051302
2019,08,28,0.050044
2019,08,28,0.055286
2019,08,28,0.038589
2019,08,28,0.060685
2019,08,28,0.054912
2019,08,28,0.052501
2019,08,28,0.043018
2019,08,28,0.054024
2019,08,28,0.038011
2019,08,28,0.052471
2019,08,28,0.049954
2019,08,28,0.041585
2019,08,28,0.030874
2019,08,28,0.039762
2019,08,28,0.038834
2019,08,28,0.041816
2019,08,28,0.050779
2019,08,28,0.037729
2019,08,28,0.053723
2019,08,28,0.041104
2019,08,28,0.052852
2019,08,28,0.038401
2019,08,28,0.038931
2019,08,28,0.062041
2019,08,28,0.057689
2019,08,28,0.041230
2019,08,28,0.056727
2019,08,28,0.041088
2019,08,28,0.053239
2019,08,28,0.061808
2019,08,28,0.038750
2019,08,28,0.051326
2019,08,28,0.041763
2019,08,28,0.041373
2019,08,28,0.043169
2019,08,28,0.039840
2019,08,28,0.048720
2019,08,28,0.041838
2019,08,28,0.042807
2019,08,28,0.052658
2019,08,28,0.043053
2019,08,28,0.040788
2019,08,28,0.050614
2019,08,28,0.039460
2019,08,28,0.047632
2019,08,28,0.042613
2019,08,28,0.039951
2019,08,28,0.043101
2019,08,28,0.037703
2019,08,28,0.040134
2019,08,28,0.041964
2019,08,28,0.107945
2019,08,28,0.045601
2019,08,28,0.041152
2019,08,28,0.042083
2019,08,28,0.039504
2019,08,28,0.041862
2019,08,28,0.046985
2019,08,28,0.036438
2019,08,28,0.040009
2019,08,28,0.042636
2019,08,28,0.038890
2019,08,28,0.039280
2019,08,28,0.038893
2019,08,28,0.040607
2019,08,28,0.041718
2019,08,28,0.039700
2019,08,28,0.041462
2019,08,28,0.044643
2019,08,28,0.036442
2019,08,28,0.040267
2019,08,28,0.041765
2019,08,28,0.039319
2019,08,28,0.042283
2019,08,28,0.039330
2019,08,28,0.043028
2019,08,28,0.039831
2019,08,28,0.039714
2019,08,28,0.055298
2019,08,28,0.040417
2019,08,28,0.041976
2019,08,28,0.039204
2019,08,28,0.043598
2019,08,28,0.041816
2019,08,28,0.034642
2019,08,28,0.041399
2019,08,28,0.039495
2019,08,28,0.041769
2019,08,28,0.039396
2019,08,28,0.050142
2019,08,28,0.040688
2019,08,28,0.036572
2019,08,28,0.038741
2019,08,28,0.073090
2019,08,28,5.458636
2019,08,28,0.056372
2019,08,28,0.035715
2019,08,28,0.028202
2019,08,28,0.030294
2019,08,28,0.057868
2019,08,28,0.078917
2019,08,28,0.039053
2019,08,28,0.023029
2019,08,28,0.032496
2019,08,28,0.034264
2019,08,28,0.034364
2019,08,28,0.036452
2019,08,28,0.033343
2019,08,28,0.033380
2019,08,28,0.036439
2019,08,28,0.034252
2019,08,28,0.034599
2019,08,28,0.363703
2019,08,28,0.046031
2019,08,28,0.051602
2019,08,28,0.041798
2019,08,28,0.031036
2019,08,28,0.039306
2019,08,28,0.031927
2019,08,28,0.051174
2019,08,28,0.030077
2019,08,28,0.035627
2019,08,28,0.138842
2019,08,28,0.047585
2019,08,28,0.111636
2019,08,28,0.065517
2019,08,28,0.035977
2019,08,28,0.039089
2019,08,28,0.032488
2019,08,28,0.044076
2019,08,28,0.035744
2019,08,28,0.040252
2019,08,28,0.028948
2019,08,28,0.037170
2019,08,28,0.030828
2019,08,28,0.028895
2019,08,28,0.019186
2019,08,28,0.032839
2019,08,28,0.023634
2019,08,28,0.034126
2019,08,28,0.025124
2019,08,28,0.032006
2019,08,28,0.024168
2019,08,28,0.031593
2019,08,28,0.034231
2019,08,28,0.036867
2019,08,28,0.030598
2019,08,28,0.041091
2019,08,28,0.028089
2019,08,28,0.065227
2019,08,28,0.028193
2019,08,28,0.075747
2019,08,28,0.042139
2019,08,28,0.045420
2019,08,28,0.116662
2019,08,28,0.050188
2019,08,28,0.034606
2019,08,28,0.027350
2019,08,28,0.032673
2019,08,28,0.038887
2019,08,28,0.029631
2019,08,28,0.031121
2019,08,28,0.039057
